id,name,neighbourhood,latitude,longitude,room_type,property_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,host_is_superhost,instant_bookable
569115106466759151,"Entire, elegant, upscale home near Bexley",Neighborhood highlights,39.952,-82.92183,Entire home/apt,Entire home,102,3,81,1.87,108,f,f
569911276599572373,"Sunny 1BR w/ Queen Bed, DT Cbus (Queer Owned)",Neighborhood highlights,39.95483,-83.02388,Private room,Private room in home,47,30,11,0.26,236,t,f
570328924265693051,Board Game Bungalow of Grandview- Close to OSU,Neighborhood highlights,39.987839,-83.041992,Entire home/apt,Entire home,171,1,169,3.97,53,t,f
573364686268783275,Downtown | Fenced Yard | Pet Friendly,Neighborhood highlights,39.97131,-82.97196,Entire home/apt,Entire home,239,2,96,2.21,1,t,f
574458793731697962,Retro Retreat | Historic Home in Short North | Sle,Neighborhood highlights,39.98400115966797,-83.00413513,Entire home/apt,Entire rental unit,151,1,4,0.1,349,t,t
574481423640679553,Big Brick 2 Bedroom apartment in Victorian Village,Neighborhood highlights,39.99073,-83.01357,Entire home/apt,Entire rental unit,128,1,38,0.89,352,t,f
575582592117725666,C01-Poe-Private Room in Shared Home-2 Full beds,Neighborhood highlights,39.94377,-82.97465,Private room,Private room in home,56,1,96,2.24,356,f,f
575584828003494807,C02-Alcott-Private Room in Shared Home-2 Beds,Neighborhood highlights,39.94494,-82.97426,Private room,Private room in home,53,1,95,2.23,365,f,f
575586720649594515,C03-Angelou-Private Room in Shared Home-1 Full Bed,Neighborhood highlights,39.94354,-82.97568,Private room,Private room in home,51,1,167,3.86,363,f,f
575588747288140949,C04-Hemingway-Private Room in Shared Home-1 Bed,Neighborhood highlights,39.94347,-82.97463,Private room,Private room in home,50,1,147,3.43,365,f,f
575590771552583237,C05-Capote-Private Economy Basement Room,Neighborhood highlights,39.9451,-82.97509,Private room,Private room in home,39,1,152,3.79,76,f,f
578729121365012551,Modern Peaceful 1BR near DT-Historic St,Neighborhood highlights,39.96121,-82.97375,Entire home/apt,Entire townhouse,97,2,62,1.54,358,t,f
578729169995891317,Urban Loft 2-story 1BR Near DT on Historic Street,Neighborhood highlights,39.96115,-82.97423,Entire home/apt,Entire townhouse,90,2,107,3.02,353,t,f
580147427622115239,Modern Boho Stylish 1BR Near DT on Historic Street,Neighborhood highlights,39.9617,-82.973,Entire home/apt,Entire townhouse,84,2,54,1.31,346,t,f
581933877357049763,Lovely 2 bedroom apt. with pool & Alexa enabled!!,Neighborhood highlights,39.89318,-82.88265,Entire home/apt,Entire rental unit,91,30,10,0.23,328,f,f
